geolocation_state,geolocation_zip_code_prefix,geolocation_lat_x,geolocation_lng_x
SP,1001,-23.550189776551765,-46.634023555904214
SP,1002,-23.54814573176355,-46.63497921074498
SP,1003,-23.548993724813155,-46.63573130997587
SP,1004,-23.549798842277003,-46.63475694378971
SP,1005,-23.549456199830747,-46.63673294803691
SP,1006,-23.550101811452866,-46.636136735174176
SP,1007,-23.550046202351673,-46.63725145963765
SP,1008,-23.546001749383464,-46.63588592135779
SP,1009,-23.546835208320854,-46.636490695312204
SP,1010,-23.546389438369268,-46.635226081509046
SP,1011,-23.54690864025111,-46.63558202636042
SP,1012,-23.547789733146864,-46.63485900505736
SP,1013,-23.547142028323904,-46.63423580006205
SP,1014,-23.545912805690424,-46.633615371244936
SP,1015,-23.547665749383476,-46.631558570722675
SP,1016,-23.548976407029944,-46.63235192955855
SP,1017,-23.549531271947856,-46.63102384555222
SP,1018,-23.55092851790901,-46.63243146837754
SP,1019,-23.551774137807588,-46.63089338270139
SP,1020,-23.552335651551417,-46.63004970984574
SP,1021,-23.543000459064807,-46.63214323386248
SP,1022,-23.544921826153427,-46.631931335611945
SP,1023,-23.542330784361457,-46.63137340438762
SP,1024,-23.54140143278026,-46.62990400057277
SP,1025,-23.540291945676334,-46.630928059419446
SP,1026,-23.539657127270956,-46.63188421270581
SP,1027,-23.538082328385336,-46.630668675067795
SP,1028,-23.535932541180536,-46.63355514575825
SP,1029,-23.541373048980535,-46.633415988443026
SP,1030,-23.539549291753428,-46.63302325151353
SP,1031,-23.541905853440447,-46.63508761691669
SP,1032,-23.540124454559965,-46.635193543797676
SP,1033,-23.5392714370778,-46.63587808421484
SP,1034,-23.542515317419948,-46.637367448800894
SP,1035,-23.541614488738958,-46.64154914252655
SP,1036,-23.54164845233629,-46.641443277359315
SP,1037,-23.545411016454086,-46.63892437204838
SP,1038,-23.54390737962768,-46.63999380609391
SP,1039,-23.54137085777194,-46.63916528885119
SP,1040,-23.541028179008823,-46.638324694969405
SP,1041,-23.54390458746036,-46.64004648644473
SP,1042,-23.544852949531748,-46.640410456031695
SP,1043,-23.545765991186382,-46.641502464541404
SP,1044,-23.545598238423416,-46.641452670153164
SP,1045,-23.542345366178555,-46.64252697570119
SP,1046,-23.545930039168788,-46.6439975177819
SP,1047,-23.54618760708176,-46.64106743356166
SP,1048,-23.54711318884073,-46.63983987489639
SP,1049,-23.547011236746002,-46.63916570493306
SP,1050,-23.549229163580517,-46.64303023455155
SP,1101,-23.528286860378213,-46.631957535031056
SP,1102,-23.525571406955734,-46.63028748439394
SP,1103,-23.53546844605214,-46.630290773383464
SP,1104,-23.534952165368537,-46.62957039061348
SP,1105,-23.53409398177586,-46.62907768017333
SP,1106,-23.530220775137824,-46.6282212595308
SP,1107,-23.526087892031367,-46.629589887186604
SP,1108,-23.527232171325494,-46.630354418199865
SP,1109,-23.524624899587646,-46.627103243360565
SP,1120,-23.530162529753113,-46.6395114116631
SP,1121,-23.52786665899882,-46.635256920492864
SP,1122,-23.531130596538613,-46.638324826141904
SP,1123,-23.5291645437106,-46.63658239267475
SP,1124,-23.528221233825743,-46.63309540109692
SP,1125,-23.527288449571635,-46.64016432350875
SP,1126,-23.527066549337565,-46.6391527868084
SP,1127,-23.525480803366627,-46.64159548852642
SP,1128,-23.523786738657147,-46.64220966455255
SP,1129,-23.524051385464382,-46.645073040129965
SP,1130,-23.524830820867123,-46.64492992157745
SP,1131,-23.52237973767103,-46.64310784736644
SP,1132,-23.521539879304328,-46.64873923331726
SP,1133,-23.52042428170985,-46.65332230946677
SP,1134,-23.518899939878278,-46.65269033643668
SP,1135,-23.526190426729194,-46.650970041202214
SP,1136,-23.523986920181724,-46.66135135045781
SP,1137,-23.522851480322114,-46.65280923153936
SP,1138,-23.52245582393925,-46.65525390366422
SP,1139,-23.520724956071753,-46.665938971441705
SP,1140,-23.520438443709033,-46.6692371684404
SP,1141,-23.52031032590555,-46.66643901391753
SP,1142,-23.519934305152635,-46.6251300217966
SP,1144,-23.52357274929584,-46.67242459028444
SP,1150,-23.532953023597276,-46.658245942661374
SP,1151,-23.53164158468372,-46.65628875324909
SP,1152,-23.529884845741275,-46.65527643333265
SP,1153,-23.529930846298743,-46.65354908690434
SP,1154,-23.53053589724994,-46.65929570388057
SP,1155,-23.529072884025155,-46.66331995168207
SP,1156,-23.52892113830292,-46.66643724514503
SP,1189,-23.53210825506378,-46.63839470107914
SP,1200,-23.531567773241413,-46.64986907784642
SP,1201,-23.536082809674177,-46.6495393904693
SP,1202,-23.533742576459318,-46.64828045105448
SP,1203,-23.535964656661317,-46.6452995563268
SP,1204,-23.53599263946852,-46.644089822607214
SP,1205,-23.536490774893966,-46.642641966809634
SP,1206,-23.535863685117462,-46.64281871336397
SP,1207,-23.53917556013519,-46.63865415001012
SP,1208,-23.538660495662256,-46.63898204602016
SP,1209,-23.540695255566053,-46.641582935722816
SP,1210,-23.540039340558916,-46.64209131081345
SP,1211,-23.53757657410565,-46.64883790118901
SP,1212,-23.538268511790665,-46.63942263256764
SP,1213,-23.53650149461516,-46.64036116340707
SP,1214,-23.53884249396187,-46.64523045306012
SP,1215,-23.53616739991495,-46.64754185786534
SP,1216,-23.533127593964497,-46.64783380745067
SP,1217,-23.532657557836473,-46.648883992986285
SP,1218,-23.53124979886405,-46.64832514105406
SP,1219,-23.541288814286364,-46.64569860301067
SP,1220,-23.54451401110975,-46.64603990221943
SP,1221,-23.544867697472093,-46.64828171537102
SP,1222,-23.54594454397298,-46.64936937401518
SP,1223,-23.54408811655857,-46.64858211715019
SP,1224,-23.54177865147578,-46.652422339639514
SP,1225,-23.539786021213725,-46.64913883151014
SP,1226,-23.538010108905674,-46.65271926812754
SP,1227,-23.54620191296879,-46.658384582734
SP,1228,-23.54518937928602,-46.657610856988505
SP,1229,-23.53890160984344,-46.657291130376805
SP,1230,-23.53631040591802,-46.65711200863415
SP,1231,-23.53695040742613,-46.659255892784934
SP,1232,-23.536428003530194,-46.657426011378035
SP,1233,-23.53624654014997,-46.66166521796584
SP,1234,-23.53968956225155,-46.66424403546397
SP,1235,-23.53671427686228,-46.66466630391698
SP,1236,-23.543550224431343,-46.66741941090643
SP,1237,-23.543234451012324,-46.66872440228904
SP,1238,-23.542571396851127,-46.65424333104065
SP,1239,-23.54309527008478,-46.63105919621764
SP,1240,-23.54379184344285,-46.65854396252987
SP,1241,-23.54552478660238,-46.657840193083345
SP,1242,-23.546506947085877,-46.65850174642454
SP,1243,-23.54812030499438,-46.65919184884557
SP,1244,-23.56204912797664,-46.65959031403357
SP,1245,-23.549475523846695,-46.66382107418295
SP,1246,-23.553481295249675,-46.666318477031005
SP,1247,-23.55063807285042,-46.66865580450114
SP,1248,-23.54791252484105,-46.66802631332551
SP,1249,-23.54841989244908,-46.67122044555848
SP,1250,-23.547640483076,-46.67197263354334
SP,1251,-23.548374516404742,-46.67484647170288
SP,1252,-23.54175397547087,-46.67893404000763
SP,1253,-23.544929126352915,-46.679164692087
SP,1254,-23.54333742025504,-46.68085240293401
SP,1255,-23.54636983531918,-46.68154172682528
SP,1256,-23.547773256174626,-46.682838349154586
SP,1257,-23.54360983905433,-46.68783857511076
SP,1258,-23.54403701732507,-46.686850912471385
SP,1259,-23.541418553843286,-46.685303896769355
SP,1262,-23.550856391462712,-46.67735184892536
SP,1290,-23.54096134139296,-46.657748702752585
SP,1301,-23.549328970281234,-46.650890098687555
SP,1302,-23.5490029212623,-46.649552278636094
SP,1303,-23.54950569815466,-46.64843251428849
SP,1304,-23.554056434811184,-46.65520236871312
SP,1305,-23.55262273586526,-46.65253828877208
SP,1306,-23.553785206718914,-46.64960509694539
SP,1307,-23.552778010115734,-46.65320770049066
SP,1308,-23.555981373614493,-46.65331111428111
SP,1309,-23.55549308001593,-46.658452189500665
SP,1310,-23.56165294846951,-46.65602130430725
SP,1311,-23.564504609380954,-46.65279265595322
SP,1312,-23.55479387261339,-46.64961491794627
SP,1313,-23.556111699158375,-46.65057380587253
SP,1314,-23.552640734461253,-46.645204377633014
SP,1315,-23.55408999997805,-46.64038909569764
SP,1316,-23.552954845393913,-46.63943281932129
SP,1317,-23.55623821364504,-46.64005986522848
SP,1318,-23.559447989888127,-46.64241273733221
SP,1319,-23.551881657731418,-46.64072797271628
SP,1320,-23.557955062291967,-46.639347399325395
SP,1321,-23.562128634884576,-46.64191854981315
SP,1322,-23.56317165882957,-46.643456141575236
SP,1323,-23.565734784650232,-46.64147810312642
SP,1324,-23.55521473546573,-46.64315074020321
SP,1325,-23.557390163497683,-46.64445833667601
SP,1326,-23.556539014688955,-46.645439561798014
SP,1327,-23.565113424714433,-46.644944579328765
SP,1328,-23.55599268648501,-46.64679480230546
SP,1329,-23.5619775213248,-46.64728109566715
SP,1330,-23.55903788611603,-46.64945883730207
SP,1331,-23.562664414712174,-46.649996658057816
SP,1332,-23.55956858757865,-46.65245164487604
SP,1333,-23.566435052408952,-46.647563596618966
SP,1401,-23.575807250351694,-46.65865462724656
SP,1402,-23.57483739004907,-46.65739203989355
SP,1403,-23.56875503877107,-46.65340944414582
SP,1404,-23.568544733628457,-46.655780276658064
SP,1405,-23.564762579634404,-46.65513838518372
SP,1406,-23.57481433896783,-46.67029927274052
SP,1407,-23.576111884428972,-46.67139205737761
SP,1408,-23.56711189502812,-46.66081341581777
SP,1409,-23.56146082458663,-46.6582620039177
SP,1410,-23.56283144586961,-46.66092524802456
SP,1411,-23.564247867542992,-46.664059567949934
SP,1412,-23.563651580737666,-46.666024121075246
SP,1413,-23.561814504124463,-46.664033954271915
SP,1414,-23.559623493719684,-46.6634964553206
SP,1415,-23.55609171648326,-46.660462198375605
SP,1416,-23.560692913961418,-46.667688532670496
SP,1417,-23.552778853099586,-46.63393189503632
SP,1418,-23.56411614903986,-46.65527239864382
SP,1419,-23.563541620009776,-46.65594961304885
